ApprovalFY,Term,NoEmp,NewBiz,RevLineCr,LowDoc,DisbursementGross,MIS_Status,County_Name,TotalLoansInCounty,PIF_RateByCounty,MedIncome,PopChange,EmployedInCty,UnempInCty,UnempRateInCty,DeathsPer100k,PayDelay,Industry
2006,264,2.1972245773362196,0.0,0.0,0,1524200.0,P I F,Mesa,445,0.8764044943820225,32644,0.2766146263541973,71219,2937,4.0,977.2,3.9512437185814275,Health
1997,60,0.6931471805599453,0.0,0.0,1,90000.0,P I F,Mesa,445,0.8764044943820225,21835,0.2766146263541973,55069,2669,4.6,977.2,4.442651256490317,Manufacturing
1997,120,1.3862943611198906,0.0,0.0,0,59000.0,P I F,Mesa,445,0.8764044943820225,21835,0.2766146263541973,55069,2669,4.6,977.2,3.8501476017100584,Health
2005,35,1.0986122886681098,0.0,0.0,0,50000.0,CHGOFF,Mesa,445,0.8764044943820225,30645,0.2766146263541973,67350,3461,4.9,977.2,4.584967478670572,Other
1997,60,0.6931471805599453,0.0,0.0,1,21200.0,P I F,Mesa,445,0.8764044943820225,21835,0.2766146263541973,55069,2669,4.6,977.2,3.8066624897703196,Unknown
1997,84,1.6094379124341003,0.0,0.0,0,81135.0,P I F,Mesa,445,0.8764044943820225,21835,0.2766146263541973,55069,2669,4.6,977.2,4.61512051684126,Unknown
1997,36,2.833213344056216,0.0,0.0,1,40000.0,P I F,Mesa,445,0.8764044943820225,21835,0.2766146263541973,55069,2669,4.6,977.2,2.8903717578961645,Unknown
1997,60,1.791759469228055,0.0,0.0,1,45000.0,P I F,Mesa,445,0.8764044943820225,21835,0.2766146263541973,55069,2669,4.6,977.2,4.700480365792417,Unknown
2006,110,2.0794415416798357,0.0,0.0,0,60000.0,P I F,Mesa,445,0.8764044943820225,32644,0.2766146263541973,71219,2937,4.0,977.2,4.941642422609304,Professional
1997,300,2.4849066497880004,0.0,0.0,0,400500.0,P I F,Mesa,445,0.8764044943820225,21835,0.2766146263541973,55069,2669,4.6,977.2,5.424950017481403,Other
1997,74,0.6931471805599453,0.0,0.0,0,66000.0,CHGOFF,Mesa,445,0.8764044943820225,21835,0.2766146263541973,55069,2669,4.6,977.2,3.6375861597263857,Unknown
1997,300,1.0986122886681098,0.0,0.0,0,163000.0,P I F,Mesa,445,0.8764044943820225,21835,0.2766146263541973,55069,2669,4.6,977.2,3.970291913552122,Unknown
2005,2,1.0986122886681098,0.0,0.0,0,15000.0,CHGOFF,Mesa,445,0.8764044943820225,30645,0.2766146263541973,67350,3461,4.9,977.2,3.367295829986474,Transportation
1997,180,4.787491742782046,0.0,0.0,0,1750000.0,P I F,Mesa,445,0.8764044943820225,21835,0.2766146263541973,55069,2669,4.6,977.2,5.043425116919247,Manufacturing
1997,60,0.0,1.0,0.0,0,202500.0,P I F,Mesa,445,0.8764044943820225,21835,0.2766146263541973,55069,2669,4.6,977.2,5.3612921657094255,Unknown
1997,120,0.6931471805599453,0.0,0.0,1,100000.0,P I F,Mesa,445,0.8764044943820225,21835,0.2766146263541973,55069,2669,4.6,977.2,6.539585955617669,Wholesale
1997,180,2.772588722239781,0.0,0.0,0,200000.0,P I F,Mesa,445,0.8764044943820225,21835,0.2766146263541973,55069,2669,4.6,977.2,4.820281565605037,Other
1998,180,0.0,0.0,0.0,0,205000.0,P I F,Mesa,445,0.8764044943820225,23539,0.2766146263541973,57305,2831,4.7,977.2,4.060443010546419,Unknown
1998,289,1.0986122886681098,0.0,0.0,0,243000.0,P I F,Mesa,445,0.8764044943820225,23539,0.2766146263541973,57305,2831,4.7,977.2,2.302585092994046,Unknown
1998,240,2.1972245773362196,0.0,0.0,0,769000.0,P I F,Mesa,445,0.8764044943820225,23539,0.2766146263541973,57305,2831,4.7,977.2,4.663439094112067,Unknown
1998,240,1.791759469228055,0.0,0.0,0,133000.0,P I F,Mesa,445,0.8764044943820225,23539,0.2766146263541973,57305,2831,4.7,977.2,4.477336814478207,Health
1998,300,2.1972245773362196,0.0,0.0,0,100000.0,P I F,Mesa,445,0.8764044943820225,23539,0.2766146263541973,57305,2831,4.7,977.2,4.727387818712341,Other
1998,89,1.6094379124341003,0.0,0.0,0,135000.0,P I F,Mesa,445,0.8764044943820225,23539,0.2766146263541973,57305,2831,4.7,977.2,4.787491742782046,Retail
1998,300,2.772588722239781,0.0,0.0,0,750000.0,P I F,Mesa,445,0.8764044943820225,23539,0.2766146263541973,57305,2831,4.7,977.2,2.9444389791664403,Unknown
2006,84,2.833213344056216,0.0,0.0,0,25000.0,P I F,Mesa,445,0.8764044943820225,32644,0.2766146263541973,71219,2937,4.0,977.2,4.2626798770413155,Accommodation
1998,84,2.0794415416798357,0.0,0.0,1,100000.0,P I F,Mesa,445,0.8764044943820225,23539,0.2766146263541973,57305,2831,4.7,977.2,4.110873864173311,Retail
1998,72,1.6094379124341003,0.0,0.0,0,139000.0,P I F,Mesa,445,0.8764044943820225,23539,0.2766146263541973,57305,2831,4.7,977.2,4.499809670330265,Unknown
1998,306,3.4011973816621555,0.0,0.0,0,1163200.0,P I F,Mesa,445,0.8764044943820225,23539,0.2766146263541973,57305,2831,4.7,977.2,4.532599493153256,Arts
1998,240,3.1780538303479458,0.0,0.0,0,201000.0,P I F,Mesa,445,0.8764044943820225,23539,0.2766146263541973,57305,2831,4.7,977.2,5.676753802268282,Unknown
1998,240,1.791759469228055,0.0,0.0,0,258300.0,P I F,Mesa,445,0.8764044943820225,23539,0.2766146263541973,57305,2831,4.7,977.2,4.77912349311153,Retail
2006,240,1.0986122886681098,0.0,0.0,0,440000.0,P I F,Mesa,445,0.8764044943820225,32644,0.2766146263541973,71219,2937,4.0,977.2,4.955827057601261,Accommodation
1998,120,1.791759469228055,0.0,0.0,1,54000.0,P I F,Mesa,445,0.8764044943820225,23539,0.2766146263541973,57305,2831,4.7,977.2,3.367295829986474,Retail
2006,2,1.791759469228055,0.0,1.0,0,65414.0,CHGOFF,Mesa,445,0.8764044943820225,32644,0.2766146263541973,71219,2937,4.0,977.2,3.367295829986474,Construction
1998,244,3.2188758248682006,1.0,0.0,0,922600.0,P I F,Mesa,445,0.8764044943820225,23539,0.2766146263541973,57305,2831,4.7,977.2,4.418840607796598,Unknown
1998,60,1.3862943611198906,1.0,0.0,1,45000.0,P I F,Mesa,445,0.8764044943820225,23539,0.2766146263541973,57305,2831,4.7,977.2,3.044522437723423,Unknown
2007,120,1.9459101490553132,1.0,0.0,0,423000.0,P I F,Mesa,445,0.8764044943820225,35450,0.2766146263541973,75412,2461,3.2,977.2,5.099866427824199,Health
1998,276,2.4849066497880004,0.0,0.0,0,313973.0,P I F,Mesa,445,0.8764044943820225,23539,0.2766146263541973,57305,2831,4.7,977.2,4.30406509320417,Unknown
1998,240,2.70805020110221,0.0,0.0,0,129000.0,P I F,Mesa,445,0.8764044943820225,23539,0.2766146263541973,57305,2831,4.7,977.2,4.356708826689592,Unknown
1998,300,2.70805020110221,0.0,0.0,0,263699.0,P I F,Mesa,445,0.8764044943820225,23539,0.2766146263541973,57305,2831,4.7,977.2,4.007333185232471,Construction
2007,5,1.791759469228055,1.0,1.0,0,204439.0,CHGOFF,Mesa,445,0.8764044943820225,35450,0.2766146263541973,75412,2461,3.2,977.2,3.8501476017100584,Retail
2007,84,3.4011973816621555,0.0,1.0,0,33990.0,P I F,Mesa,445,0.8764044943820225,35450,0.2766146263541973,75412,2461,3.2,977.2,5.998936561946683,Construction
1998,111,0.6931471805599453,0.0,0.0,1,60000.0,CHGOFF,Mesa,445,0.8764044943820225,23539,0.2766146263541973,57305,2831,4.7,977.2,3.295836866004329,Other
2007,40,1.6094379124341003,0.0,0.0,0,100000.0,CHGOFF,Mesa,445,0.8764044943820225,35450,0.2766146263541973,75412,2461,3.2,977.2,3.871201010907891,Construction
1998,94,2.1972245773362196,0.0,0.0,0,203250.0,CHGOFF,Mesa,445,0.8764044943820225,23539,0.2766146263541973,57305,2831,4.7,977.2,3.6375861597263857,Manufacturing
2007,84,0.6931471805599453,0.0,1.0,0,128787.0,P I F,Mesa,445,0.8764044943820225,35450,0.2766146263541973,75412,2461,3.2,977.2,4.248495242049359,Construction
1998,180,1.3862943611198906,0.0,0.0,0,157500.0,P I F,Mesa,445,0.8764044943820225,23539,0.2766146263541973,57305,2831,4.7,977.2,5.497168225293202,Other
1999,180,2.1972245773362196,0.0,0.0,0,225000.0,P I F,Mesa,445,0.8764044943820225,24308,0.2766146263541973,58335,2415,4.0,977.2,5.4638318050256105,Unknown
1999,60,2.5649493574615367,1.0,0.0,1,90000.0,P I F,Mesa,445,0.8764044943820225,24308,0.2766146263541973,58335,2415,4.0,977.2,2.70805020110221,Unknown
2007,84,3.2188758248682006,0.0,0.0,0,35000.0,P I F,Mesa,445,0.8764044943820225,35450,0.2766146263541973,75412,2461,3.2,977.2,3.713572066704308,Administrative
2007,51,1.0986122886681098,0.0,1.0,0,16686.0,P I F,Mesa,445,0.8764044943820225,35450,0.2766146263541973,75412,2461,3.2,977.2,2.302585092994046,Administrative
2006,84,1.6094379124341003,0.0,1.0,0,90984.0,P I F,Mesa,445,0.8764044943820225,32644,0.2766146263541973,71219,2937,4.0,977.2,4.2626798770413155,Retail
2007,7,1.6094379124341003,0.0,1.0,0,230219.0,CHGOFF,Mesa,445,0.8764044943820225,35450,0.2766146263541973,75412,2461,3.2,977.2,3.044522437723423,Construction
2007,36,1.791759469228055,0.0,1.0,0,92097.0,CHGOFF,Mesa,445,0.8764044943820225,35450,0.2766146263541973,75412,2461,3.2,977.2,2.995732273553991,Accommodation
2007,84,2.70805020110221,0.0,1.0,0,74000.0,P I F,Mesa,445,0.8764044943820225,35450,0.2766146263541973,75412,2461,3.2,977.2,3.332204510175204,Accommodation
2007,240,1.3862943611198906,0.0,0.0,0,137000.0,P I F,Mesa,445,0.8764044943820225,35450,0.2766146263541973,75412,2461,3.2,977.2,5.1647859739235145,Other
2007,84,0.0,0.0,1.0,0,76898.0,P I F,Mesa,445,0.8764044943820225,35450,0.2766146263541973,75412,2461,3.2,977.2,5.6240175061873385,Construction
2007,84,0.6931471805599453,0.0,1.0,0,46401.0,P I F,Mesa,445,0.8764044943820225,35450,0.2766146263541973,75412,2461,3.2,977.2,3.1354942159291497,Mining
2007,84,0.0,1.0,0.0,0,40000.0,P I F,Mesa,445,0.8764044943820225,35450,0.2766146263541973,75412,2461,3.2,977.2,2.4849066497880004,Manufacturing
2007,42,1.6094379124341003,0.0,1.0,0,116614.0,CHGOFF,Mesa,445,0.8764044943820225,35450,0.2766146263541973,75412,2461,3.2,977.2,3.5553480614894135,Other
1999,60,1.791759469228055,0.0,0.0,0,35000.0,P I F,Mesa,445,0.8764044943820225,24308,0.2766146263541973,58335,2415,4.0,977.2,3.367295829986474,Retail
2007,90,0.6931471805599453,1.0,0.0,0,240000.0,P I F,Mesa,445,0.8764044943820225,35450,0.2766146263541973,75412,2461,3.2,977.2,2.70805020110221,Mining
2007,240,2.6390573296152584,0.0,0.0,0,357000.0,P I F,Mesa,445,0.8764044943820225,35450,0.2766146263541973,75412,2461,3.2,977.2,6.184148890937483,Real
2007,53,0.6931471805599453,1.0,0.0,0,45000.0,CHGOFF,Mesa,445,0.8764044943820225,35450,0.2766146263541973,75412,2461,3.2,977.2,2.833213344056216,Transportation
2007,240,2.6390573296152584,0.0,0.0,0,694000.0,P I F,Mesa,445,0.8764044943820225,35450,0.2766146263541973,75412,2461,3.2,977.2,5.793013608384144,Construction
1999,84,0.6931471805599453,0.0,0.0,0,80000.0,P I F,Mesa,445,0.8764044943820225,24308,0.2766146263541973,58335,2415,4.0,977.2,4.418840607796598,Unknown
1999,246,0.0,1.0,0.0,0,245300.0,P I F,Mesa,445,0.8764044943820225,24308,0.2766146263541973,58335,2415,4.0,977.2,3.9318256327243257,Other
2007,58,1.0986122886681098,0.0,1.0,0,78954.0,CHGOFF,Mesa,445,0.8764044943820225,35450,0.2766146263541973,75412,2461,3.2,977.2,3.6888794541139363,Real
1999,60,2.0794415416798357,1.0,0.0,1,55000.0,P I F,Mesa,445,0.8764044943820225,24308,0.2766146263541973,58335,2415,4.0,977.2,3.871201010907891,Unknown
2008,59,0.6931471805599453,1.0,1.0,0,40663.0,CHGOFF,Mesa,445,0.8764044943820225,38324,0.2766146263541973,78618,3182,3.9,977.2,4.1588830833596715,Finance
2008,62,4.454347296253507,0.0,1.0,0,87187.0,CHGOFF,Mesa,445,0.8764044943820225,38324,0.2766146263541973,78618,3182,3.9,977.2,3.332204510175204,Arts
2008,84,0.6931471805599453,0.0,1.0,0,90220.0,P I F,Mesa,445,0.8764044943820225,38324,0.2766146263541973,78618,3182,3.9,977.2,2.9444389791664403,Health
1999,240,2.4849066497880004,1.0,0.0,0,256400.0,P I F,Mesa,445,0.8764044943820225,24308,0.2766146263541973,58335,2415,4.0,977.2,3.367295829986474,Accommodation
1999,87,1.6094379124341003,0.0,0.0,0,43554.0,P I F,Mesa,445,0.8764044943820225,24308,0.2766146263541973,58335,2415,4.0,977.2,5.4638318050256105,Health
2008,93,1.3862943611198906,0.0,0.0,0,15000.0,CHGOFF,Mesa,445,0.8764044943820225,38324,0.2766146263541973,78618,3182,3.9,977.2,2.995732273553991,Manufacturing
2007,240,2.0794415416798357,0.0,0.0,0,1169000.0,P I F,Mesa,445,0.8764044943820225,35450,0.2766146263541973,75412,2461,3.2,977.2,5.19295685089021,Accommodation
1999,84,1.0986122886681098,0.0,0.0,1,75000.0,P I F,Mesa,445,0.8764044943820225,24308,0.2766146263541973,58335,2415,4.0,977.2,4.465908118654584,Unknown
1999,84,2.5649493574615367,0.0,0.0,0,115000.0,P I F,Mesa,445,0.8764044943820225,24308,0.2766146263541973,58335,2415,4.0,977.2,2.995732273553991,Construction
2008,108,1.791759469228055,0.0,0.0,0,775000.0,P I F,Mesa,445,0.8764044943820225,38324,0.2766146263541973,78618,3182,3.9,977.2,3.2188758248682006,Wholesale
2008,45,2.302585092994046,0.0,1.0,0,39875.0,CHGOFF,Mesa,445,0.8764044943820225,38324,0.2766146263541973,78618,3182,3.9,977.2,3.713572066704308,Accommodation
2008,240,0.0,1.0,0.0,0,836000.0,P I F,Mesa,445,0.8764044943820225,38324,0.2766146263541973,78618,3182,3.9,977.2,6.1463292576688975,Other
2008,120,3.6888794541139363,1.0,0.0,0,1074700.0,P I F,Mesa,445,0.8764044943820225,38324,0.2766146263541973,78618,3182,3.9,977.2,3.4011973816621555,Arts
2008,60,1.3862943611198906,0.0,1.0,0,10660.0,P I F,Mesa,445,0.8764044943820225,38324,0.2766146263541973,78618,3182,3.9,977.2,5.7899601708972535,Information
1999,276,0.6931471805599453,0.0,0.0,0,246945.0,P I F,Mesa,445,0.8764044943820225,24308,0.2766146263541973,58335,2415,4.0,977.2,4.454347296253507,Unknown
2008,48,1.6094379124341003,0.0,0.0,0,45000.0,CHGOFF,Mesa,445,0.8764044943820225,38324,0.2766146263541973,78618,3182,3.9,977.2,3.6375861597263857,Professional
2008,84,1.9459101490553132,0.0,1.0,0,39232.0,P I F,Mesa,445,0.8764044943820225,38324,0.2766146263541973,78618,3182,3.9,977.2,3.6109179126442243,Professional
1999,300,1.791759469228055,0.0,0.0,0,247500.0,P I F,Mesa,445,0.8764044943820225,24308,0.2766146263541973,58335,2415,4.0,977.2,5.318119993844216,Health
2008,84,3.2188758248682006,0.0,1.0,0,41875.0,CHGOFF,Mesa,445,0.8764044943820225,38324,0.2766146263541973,78618,3182,3.9,977.2,2.8903717578961645,Accommodation
1999,101,3.2188758248682006,1.0,0.0,1,75000.0,CHGOFF,Mesa,445,0.8764044943820225,24308,0.2766146263541973,58335,2415,4.0,977.2,4.74493212836325,Unknown
